priority,latency,jitter,framelength
1,0.39421373194899434,0.00031930979293113285,64
1,0.6133299596835584,0.02856709343889376,64
1,0.3110991459864116,0.037486840132313466,64
1,0.7282045047391323,0.031524061070054385,64
1,0.7570433608472099,0.029430606680819912,64
1,0.3906651256865335,0.04546519900018787,64
1,0.7692068000456856,0.04213318704342474,64
1,0.7650245112655671,0.03935663257789075,64
1,0.6883244065816417,0.037499561008630576,64
1,0.41122252125159503,0.027526638844716213,64
1,0.5641997451497758,0.035526416559744874,64
1,0.41749567584982983,0.03978723855449274,64
1,0.7442162448246523,0.011382545895289859,64
1,0.5804098410466958,0.02329022683599856,64
1,0.335855061559971,0.03209775332826185,64
1,0.35396650387852796,0.021332296219606833,64
1,0.6178205786125153,0.03315086489549586,64
1,0.6739163901037151,0.04321928907498756,64
1,0.7001321363470582,0.007837370186827041,64
1,0.3072717138122977,0.007798778494014014,64
1,0.6407025663542101,0.0020003400489861044,64
1,0.6790823058325257,0.019087432666689032,64
1,0.35172980559672123,0.003769123575736572,64
1,0.3963518613198689,0.0473344138251633,64
1,0.3869752859526124,0.025292714787119225,64
1,0.6239305168874254,0.01854644044102438,64
1,0.32630335812396305,0.027401838688653757,64
1,0.7699138286143634,0.0005465347449979008,64
1,0.4909739764408434,0.023900787372532234,64
1,0.7316365326022012,0.019302488677186282,64
1,0.5465768187434485,0.013685033673359659,64
1,0.4035219091079368,0.03935645015106634,64
1,0.5351599302106532,0.0039955922110812,64
1,0.34995781185919583,0.009341008240335291,64
1,0.5747617951671848,0.023117193153450257,64
1,0.6597271695988729,0.04249791669956793,64
1,0.7761512431114946,0.03351574176941864,64
1,0.400468780428498,0.031572906273909095,64
1,0.7606518385508757,0.02329748786013034,64
1,0.793204181118595,0.03290735015063313,64
1,0.46824143104668814,0.02477752526691562,64
1,0.49186487334442125,0.007291245623484844,64
1,0.6248029484332178,0.04567566057256533,64
1,0.6944518390832892,0.044239623035358715,64
1,0.6980931045691182,0.02157322444573086,64
1,0.6596695136658932,0.0032009137491437302,64
1,0.5555894731726663,0.024127515555090368,64
1,0.4122810364865286,0.013022387620005738,64
1,0.42078780561965096,0.03073797754817851,64
1,0.4732104942774022,0.00866418937801749,64
1,0.513694339230482,0.02628590620475621,64
1,0.6409127480975523,0.002878013941768776,64
1,0.4751708224018703,0.025216786582936104,64
1,0.5087046556693169,0.007904412556455276,64
1,0.7757660620834439,0.03758625221189857,64
1,0.6558304759327087,0.009390514317301164,64
1,0.6482278140895721,0.047911487878065824,64
1,0.7383386944614494,0.026296902525452803,64
1,0.48643888896644444,0.041579773314534156,64
1,0.7354436042248271,0.024980256749548842,64
1,0.3675168427971994,0.0029289914583429614,64
1,0.6757179075865217,0.005160539885657584,64
1,0.4249307170492313,0.03275052837292719,64
1,0.4567737842717035,0.02752718998380523,64
1,0.4587697413035089,0.013635922815622193,64
1,0.3282376191135873,0.006750840410856523,64
1,0.5206700716925186,0.01895987699720779,64
1,0.4648458079054983,0.02816931905024861,64
1,0.6329062927867533,0.0030825676848825704,64
1,0.4786477166587937,0.04930817550933719,64
1,0.3281677148085788,0.0036891080145482202,64
1,0.33533900183648613,0.020225689138402156,64
1,0.7632069278247642,0.005592238040803915,64
1,0.7706980071533188,0.014938966449801916,64
1,0.7459750411357225,0.007862085193833924,64
1,0.7836964733239697,0.03413645879401726,64
1,0.6682746890903546,0.04090517476750653,64
1,0.3393720625284544,0.03715886608175401,64
1,0.30274600223783926,0.017055072029230702,64
1,0.541847409288684,0.03414866491897124,64
1,0.4429862814342282,0.011802932023010422,64
1,0.6435407269556481,0.044100674395117015,64
1,0.6897487518269902,0.044486366896968846,64
1,0.406726695567964,0.008002185056540578,64
1,0.7818982236837407,0.04284827771744305,64
1,0.7189937667765183,0.030834904382180325,64
1,0.49257519780983633,0.012669400143327271,64
1,0.5972900367214015,0.015662448846294353,64
1,0.5369837431698349,0.013055056859865117,64
1,0.4601769484478069,0.0036238851084385904,64
1,0.569632014855304,0.020102787288413543,64
1,0.36009932420213026,0.019072626093666042,64
1,0.6402832510557531,0.02680197790744279,64
1,0.5659833834502054,0.0019276947421485115,64
1,0.35548052298264665,0.0020334402705337153,64
1,0.6141475610715676,0.02781614830225377,64
1,0.7759594767926565,0.01771667703101348,64
1,0.4706621856740869,0.01539992999201894,64
